Shooter,Goalie,Shooter_Year,Goalie_Year
Danton Heinen,Andrei Vasilevskiy,2021,2021
Brian Boyle,Andrei Vasilevskiy,2021,2021
Dominik Simon,Andrei Vasilevskiy,2021,2021
Anthony Cirelli,Tristan Jarry,2021,2021
Alex Killorn,Tristan Jarry,2021,2021
Max Pacioretty,Philipp Grubauer,2021,2021
Jonathan Marchessault,Philipp Grubauer,2021,2021
Max Pacioretty,Philipp Grubauer,2021,2021
Ryan Donato,Robin Lehner,2021,2021
Jared McCann,Robin Lehner,2021,2021
Morgan Geekie,Robin Lehner,2021,2021
Chandler Stephenson,Philipp Grubauer,2021,2021
Jonathan Drouin,Jack Campbell,2021,2021
Pierre Engvall,Jake Allen,2021,2021
William Nylander,Jake Allen,2021,2021
T.J. Oshie,Alexandar Georgiev,2021,2021
Justin Schultz,Alexandar Georgiev,2021,2021
Hendrix Lapierre,Alexandar Georgiev,2021,2021
Alex Ovechkin,Alexandar Georgiev,2021,2021
Chris Kreider,Vitek Vanecek,2021,2021
Alex Ovechkin,Alexandar Georgiev,2021,2021
Jack Johnson,Marc-Andre Fleury,2021,2021
Gabriel Landeskog,Marc-Andre Fleury,2021,2021
Bowen Byram,Marc-Andre Fleury,2021,2021
Dominik Kubalik,Darcy Kuemper,2021,2021
Nazem Kadri,Marc-Andre Fleury,2021,2021
Connor Murphy,Darcy Kuemper,2021,2021
Jesse Puljujarvi,Thatcher Demko,2021,2021
Zach Hyman,Thatcher Demko,2021,2021
Oliver Ekman-Larsson,Mike Smith,2021,2021
Quinn Hughes,Mike Smith,2021,2021
Ryan Nugent-Hopkins,Thatcher Demko,2021,2021
Bo Horvat,Mike Smith,2021,2021
Kyle Turris,Thatcher Demko,2021,2021
Kyle Okposo,Samuel Montembeault,2021,2021
Zemgus Girgensons,Samuel Montembeault,2021,2021
Chris Wideman,Craig Anderson,2021,2021
Victor Olofsson,Samuel Montembeault,2021,2021
Anders Bjork,Samuel Montembeault,2021,2021
Tage Thompson,Samuel Montembeault,2021,2021
Chris Tierney,Petr Mrazek,2021,2021
Tyler Ennis,Petr Mrazek,2021,2021
Alex Formenton,Petr Mrazek,2021,2021
Jason Spezza,Anton Forsberg,2021,2021
William Nylander,Anton Forsberg,2021,2021
Dylan Larkin,Andrei Vasilevskiy,2021,2021
Tyler Bertuzzi,Andrei Vasilevskiy,2021,2021
Tyler Bertuzzi,Andrei Vasilevskiy,2021,2021
Ondrej Palat,Alex Nedeljkovic,2021,2021
Tyler Bertuzzi,Andrei Vasilevskiy,2021,2021
Steven Stamkos,Alex Nedeljkovic,2021,2021
Steven Stamkos,Alex Nedeljkovic,2021,2021
Tyler Bertuzzi,Andrei Vasilevskiy,2021,2021
Vladislav Namestnikov,Andrei Vasilevskiy,2021,2021
Ross Colton,Alex Nedeljkovic,2021,2021
Nikita Kucherov,Alex Nedeljkovic,2021,2021
Alex Killorn,Alex Nedeljkovic,2021,2021
Ondrej Palat,Alex Nedeljkovic,2021,2021
Carter Verhaeghe,Casey DeSmith,2021,2021
Anthony Duclair,Casey DeSmith,2021,2021
Danton Heinen,Sergei Bobrovsky,2021,2021
Jeff Carter,Sergei Bobrovsky,2021,2021
Jake Guentzel,Sergei Bobrovsky,2021,2021
Evan Rodrigues,Sergei Bobrovsky,2021,2021
Aaron Ekblad,Casey DeSmith,2021,2021
Aaron Ekblad,Casey DeSmith,2021,2021
Carter Verhaeghe,Casey DeSmith,2021,2021
Jacob Peterson,Igor Shesterkin,2021,2021
Radek Faksa,Igor Shesterkin,2021,2021
Adam Fox,Braden Holtby,2021,2021
Chris Kreider,Braden Holtby,2021,2021
Miro Heiskanen,Igor Shesterkin,2021,2021
Mathew Barzal,Frederik Andersen,2021,2021
Andrei Svechnikov,Ilya Sorokin,2021,2021
Jesper Fast,Ilya Sorokin,2021,2021
Brock Nelson,Frederik Andersen,2021,2021
Jordan Martinook,Ilya Sorokin,2021,2021
Nino Niederreiter,Ilya Sorokin,2021,2021
Anders Lee,Frederik Andersen,2021,2021
Teuvo Teravainen,Ilya Sorokin,2021,2021
Alexandre Texier,Carter Hutton,2021,2021
Oliver Bjorkstrand,Carter Hutton,2021,2021
Boone Jenner,Carter Hutton,2021,2021
Anton Stralman,Elvis Merzlikins,2021,2021
Oliver Bjorkstrand,Carter Hutton,2021,2021
Jake Bean,Carter Hutton,2021,2021
Zach Werenski,Carter Hutton,2021,2021
Max Domi,Carter Hutton,2021,2021
Clayton Keller,Elvis Merzlikins,2021,2021
Gustav Nyquist,Carter Hutton,2021,2021
Eeli Tolvanen,Philipp Grubauer,2021,2021
Jared McCann,Juuse Saros,2021,2021
Brandon Tanev,Juuse Saros,2021,2021
Roman Josi,Philipp Grubauer,2021,2021
Alexander Wennberg,Juuse Saros,2021,2021
Mikael Granlund,Philipp Grubauer,2021,2021
Kevin Shattenkirk,Connor Hellebuyck,2021,2021
Mason McTavish,Connor Hellebuyck,2021,2021
Kyle Connor,John Gibson,2021,2021
Adam Henrique,Connor Hellebuyck,2021,2021
Rickard Rakell,Connor Hellebuyck,2021,2021
Shea Theodore,Cal Petersen,2021,2021
Dustin Brown,Robin Lehner,2021,2021
Anze Kopitar,Robin Lehner,2021,2021
Phillip Danault,Robin Lehner,2021,2021
Anze Kopitar,Robin Lehner,2021,2021
Drew Doughty,Laurent Brossoit,2021,2021
Anze Kopitar,Laurent Brossoit,2021,2021
Chandler Stephenson,Cal Petersen,2021,2021
Dougie Hamilton,Kevin Lankinen,2021,2021
Alex DeBrincat,Jonathan Bernier,2021,2021
Jack Hughes,Kevin Lankinen,2021,2021
Andreas Johnsson,Kevin Lankinen,2021,2021
Kirby Dach,Jonathan Bernier,2021,2021
Dominik Kubalik,Jonathan Bernier,2021,2021
Jack Hughes,Kevin Lankinen,2021,2021
Joel Farabee,Thatcher Demko,2021,2021
Vasily Podkolzin,Carter Hart,2021,2021
Elias Pettersson,Carter Hart,2021,2021
Alex Chiasson,Carter Hart,2021,2021
Cam Atkinson,Thatcher Demko,2021,2021
J.T. Miller,Carter Hart,2021,2021
Travis Konecny,Thatcher Demko,2021,2021
Claude Giroux,Thatcher Demko,2021,2021
Elias Pettersson,Carter Hart,2021,2021
J.T. Miller,Carter Hart,2021,2021
