Shooter,Goalie,Shooter_Year,Goalie_Year
Patrick Maroon,Brian Elliott,2016,2016
Alex Chiasson,Cam Talbot,2016,2016
Tyler Pitlick,Brian Elliott,2016,2016
Zack Kassian,Brian Elliott,2016,2016
Troy Brouwer,Cam Talbot,2016,2016
Michael Frolik,Cam Talbot,2016,2016
Connor McDavid,Brian Elliott,2016,2016
Connor McDavid,Brian Elliott,2016,2016
Jesse Puljujarvi,Brian Elliott,2016,2016
Dennis Wideman,Cam Talbot,2016,2016
Brendan Gallagher,Robin Lehner,2016,2016
Torrey Mitchell,Robin Lehner,2016,2016
Matt Moulson,Al Montoya,2016,2016
Brendan Gallagher,Robin Lehner,2016,2016
Andrew Shaw,Robin Lehner,2016,2016
Richard Panik,Jake Allen,2016,2016
Kevin Shattenkirk,Corey Crawford,2016,2016
Ryan Hartman,Jake Allen,2016,2016
Vladimir Tarasenko,Corey Crawford,2016,2016
Paul Stastny,Corey Crawford,2016,2016
Tyler Toffoli,Martin Jones,2016,2016
Logan Couture,Jonathan Quick,2016,2016
Brent Burns,Jeff Zatkoff,2016,2016
Auston Matthews,Craig Anderson,2016,2016
Bobby Ryan,Frederik Andersen,2016,2016
Erik Karlsson,Frederik Andersen,2016,2016
Auston Matthews,Craig Anderson,2016,2016
Auston Matthews,Craig Anderson,2016,2016
Derick Brassard,Frederik Andersen,2016,2016
Auston Matthews,Craig Anderson,2016,2016
Kyle Turris,Frederik Andersen,2016,2016
Kyle Turris,Frederik Andersen,2016,2016
Michael Grabner,Jaroslav Halak,2016,2016
Mats Zuccarello,Jaroslav Halak,2016,2016
Nick Leddy,Henrik Lundqvist,2016,2016
Cal Clutterbuck,Henrik Lundqvist,2016,2016
Chris Kreider,Jaroslav Halak,2016,2016
Brandon Pirri,Jaroslav Halak,2016,2016
Brock Nelson,Henrik Lundqvist,2016,2016
Alexander Wennberg,Tuukka Rask,2016,2016
Cam Atkinson,Tuukka Rask,2016,2016
David Pastrnak,Sergei Bobrovsky,2016,2016
Seth Jones,Tuukka Rask,2016,2016
David Backes,Sergei Bobrovsky,2016,2016
David Backes,Sergei Bobrovsky,2016,2016
Brad Marchand,Sergei Bobrovsky,2016,2016
Brad Marchand,Sergei Bobrovsky,2016,2016
Jonathan Marchessault,Cory Schneider,2016,2016
PA Parenteau,Roberto Luongo,2016,2016
Aleksander Barkov,Cory Schneider,2016,2016
Andre Burakovsky,Marc-Andre Fleury,2016,2016
Patric Hornqvist,Braden Holtby,2016,2016
Evgeni Malkin,Braden Holtby,2016,2016
Andre Burakovsky,Marc-Andre Fleury,2016,2016
T.J. Oshie,Marc-Andre Fleury,2016,2016
Evgeni Malkin,Braden Holtby,2016,2016
Kris Letang,Braden Holtby,2016,2016
Nicklas Backstrom,Marc-Andre Fleury,2016,2016
Phil Kessel,Braden Holtby,2016,2016
Thomas Vanek,Ben Bishop,2016,2016
Thomas Vanek,Ben Bishop,2016,2016
Jonathan Drouin,Petr Mrazek,2016,2016
Frans Nielsen,Ben Bishop,2016,2016
Cedric Paquette,Petr Mrazek,2016,2016
Brian Boyle,Petr Mrazek,2016,2016
Tyler Johnson,Petr Mrazek,2016,2016
Alex Killorn,Petr Mrazek,2016,2016
Danny DeKeyser,Ben Bishop,2016,2016
Alexander Steen,Devan Dubnyk,2016,2016
Ryan Suter,Jake Allen,2016,2016
Nail Yakupov,Devan Dubnyk,2016,2016
Magnus Paajarvi,Devan Dubnyk,2016,2016
Charlie Coyle,Jake Allen,2016,2016
Shawn Matthias,Cam Ward,2016,2016
Jeff Skinner,Connor Hellebuyck,2016,2016
Lee Stempniak,Connor Hellebuyck,2016,2016
Jordan Staal,Connor Hellebuyck,2016,2016
Victor Rask,Connor Hellebuyck,2016,2016
Blake Wheeler,Cam Ward,2016,2016
Patrik Laine,Cam Ward,2016,2016
Mathieu Perreault,Cam Ward,2016,2016
Mark Scheifele,Cam Ward,2016,2016
Stephen Johns,John Gibson,2016,2016
Andrew Cogliano,Antti Niemi,2016,2016
Lauri Korpikoski,John Gibson,2016,2016
Andrew Cogliano,Antti Niemi,2016,2016
Antoine Roussel,John Gibson,2016,2016
Adam Cracknell,John Gibson,2016,2016
Boyd Gordon,Jeff Zatkoff,2016,2016
Sean Couturier,Jeff Zatkoff,2016,2016
Sean Couturier,Jeff Zatkoff,2016,2016
Mark Streit,Jeff Zatkoff,2016,2016
Drew Doughty,Michal Neuvirth,2016,2016
Brayden McNabb,Michal Neuvirth,2016,2016
Sean Monahan,Cam Talbot,2016,2016
Connor McDavid,Brian Elliott,2016,2016
Michael Frolik,Cam Talbot,2016,2016
Jordan Eberle,Brian Elliott,2016,2016
Leon Draisaitl,Brian Elliott,2016,2016
Mark Letestu,Brian Elliott,2016,2016
Jyrki Jokipakka,Cam Talbot,2016,2016
Marcus Kruger,Pekka Rinne,2016,2016
P.K. Subban,Corey Crawford,2016,2016
Niklas Hjalmarsson,Pekka Rinne,2016,2016
Roman Josi,Corey Crawford,2016,2016
Mike Fisher,Corey Crawford,2016,2016
Connor Brown,Anton Khudobin,2016,2016
Mitch Marner,Anton Khudobin,2016,2016
James van Riemsdyk,Anton Khudobin,2016,2016
David Pastrnak,Frederik Andersen,2016,2016
Milan Michalek,Anton Khudobin,2016,2016
Vincent Trocheck,Petr Mrazek,2016,2016
Colton Sceviour,Petr Mrazek,2016,2016
Darren Helm,Roberto Luongo,2016,2016
Aleksander Barkov,Petr Mrazek,2016,2016
Kyle Palmieri,Andrei Vasilevskiy,2016,2016
Travis Zajac,Andrei Vasilevskiy,2016,2016
Steven Stamkos,Cory Schneider,2016,2016
Alex Killorn,Cory Schneider,2016,2016
Valtteri Filppula,Cory Schneider,2016,2016
Ryan Dzingel,Al Montoya,2016,2016
Zack Smith,Al Montoya,2016,2016
Jeff Petry,Craig Anderson,2016,2016
Artturi Lehkonen,Craig Anderson,2016,2016
Jeff Petry,Craig Anderson,2016,2016
Tom Pyatt,Al Montoya,2016,2016
Kyle Turris,Al Montoya,2016,2016
Alexander Radulov,Craig Anderson,2016,2016
Erik Karlsson,Al Montoya,2016,2016
Daniel Winnik,Thomas Greiss,2016,2016
Ryan Strome,Braden Holtby,2016,2016
Daniel Winnik,Thomas Greiss,2016,2016
Ian Cole,Jonathan Bernier,2016,2016
Cam Fowler,Marc-Andre Fleury,2016,2016
Conor Sheary,Jonathan Bernier,2016,2016
Phil Kessel,Jonathan Bernier,2016,2016
Corey Perry,Marc-Andre Fleury,2016,2016
Nikolaj Ehlers,Devan Dubnyk,2016,2016
Blake Wheeler,Devan Dubnyk,2016,2016
Chris Stewart,Michael Hutchinson,2016,2016
Mathew Dumba,Michael Hutchinson,2016,2016
Eric Staal,Michael Hutchinson,2016,2016
Jonas Brodin,Michael Hutchinson,2016,2016
Mark Scheifele,Devan Dubnyk,2016,2016
Mikkel Boedker,Sergei Bobrovsky,2016,2016
Joel Ward,Sergei Bobrovsky,2016,2016
Zach Werenski,Martin Jones,2016,2016
Josh Anderson,Martin Jones,2016,2016
Tyler Seguin,Semyon Varlamov,2016,2016
Devin Shore,Semyon Varlamov,2016,2016
Joe Colborne,Antti Niemi,2016,2016
Joe Colborne,Antti Niemi,2016,2016
Carl Soderberg,Antti Niemi,2016,2016
Nathan MacKinnon,Antti Niemi,2016,2016
Joe Colborne,Antti Niemi,2016,2016
Jamie Benn,Semyon Varlamov,2016,2016
Tyler Seguin,Semyon Varlamov,2016,2016
Tyson Barrie,Kari Lehtonen,2016,2016
Brett Ritchie,Semyon Varlamov,2016,2016
Vladimir Tarasenko,Henrik Lundqvist,2016,2016
Chris Kreider,Carter Hutton,2016,2016
Paul Stastny,Henrik Lundqvist,2016,2016
Alex Pietrangelo,Henrik Lundqvist,2016,2016
Mika Zibanejad,Carter Hutton,2016,2016
Nick Schmaltz,Marek Mazanec,2016,2016
Brent Seabrook,Marek Mazanec,2016,2016
Richard Panik,Marek Mazanec,2016,2016
Colin Wilson,Scott Darling,2016,2016
Craig Smith,Scott Darling,2016,2016
Richard Panik,Marek Mazanec,2016,2016
Viktor Arvidsson,Scott Darling,2016,2016
Richard Panik,Marek Mazanec,2016,2016
Shane Doan,Steve Mason,1997,2016
Michael Raffl,Mike Smith,2016,2016
Martin Hanzal,Steve Mason,2016,2016
Brad Richardson,Steve Mason,2016,2016
Wayne Simmonds,Mike Smith,2016,2016
Matt Read,Mike Smith,2016,2016
Oliver Ekman-Larsson,Steve Mason,2016,2016
Kyle Okposo,Cam Talbot,2016,2016
Ryan O'Reilly,Cam Talbot,2016,2016
Benoit Pouliot,Robin Lehner,2016,2016
Milan Lucic,Robin Lehner,2016,2016
Ryan O'Reilly,Cam Talbot,2016,2016
Brian Gionta,Cam Talbot,2016,2016
Brian Gionta,Cam Talbot,2016,2016
Matt Moulson,Cam Talbot,2016,2016
Daniel Sedin,Chad Johnson,2016,2016
Brandon Sutter,Chad Johnson,2016,2016
Victor Rask,Jacob Markstrom,2016,2016
Teuvo Teravainen,Jacob Markstrom,2016,2016
Justin Faulk,Jacob Markstrom,2016,2016
Bo Horvat,Eddie Lack,2016,2016
Markus Granlund,Eddie Lack,2016,2016
Ben Hutton,Eddie Lack,2016,2016
Brandon Sutter,Eddie Lack,2016,2016
Brock Nelson,John Gibson,2016,2016
John Tavares,John Gibson,2016,2016
Cam Fowler,Jaroslav Halak,2016,2016
Ryan Getzlaf,Jaroslav Halak,2016,2016
Josh Bailey,John Gibson,2016,2016
Blake Wheeler,Tuukka Rask,2016,2016
Dominic Moore,Connor Hellebuyck,2016,2016
David Pastrnak,Connor Hellebuyck,2016,2016
Brandon Carlo,Connor Hellebuyck,2016,2016
Phil Kessel,Calvin Pickard,2016,2016
Matt Cullen,Calvin Pickard,1997,2016
Jarome Iginla,Marc-Andre Fleury,1997,2016
Patrick Wiercioch,Marc-Andre Fleury,2016,2016
Trevor Daley,Calvin Pickard,2016,2016
Gabriel Landeskog,Marc-Andre Fleury,2016,2016
Gabriel Landeskog,Marc-Andre Fleury,2016,2016
Sami Vatanen,Cory Schneider,2016,2016
Taylor Hall,John Gibson,2016,2016
Taylor Hall,John Gibson,2016,2016
Mike Green,Andrew Hammond,2016,2016
Darren Helm,Andrew Hammond,2016,2016
Mike Green,Andrew Hammond,2016,2016
Ryan Dzingel,Petr Mrazek,2016,2016
Mike Green,Andrew Hammond,2016,2016
Darren Helm,Andrew Hammond,2016,2016
Marc Staal,Martin Jones,2016,2016
Logan Couture,Antti Raanta,2016,2016
Rick Nash,Martin Jones,2016,2016
Chris Kreider,Martin Jones,2016,2016
Brent Burns,Antti Raanta,2016,2016
Kevin Hayes,Martin Jones,2016,2016
Jimmy Vesey,Martin Jones,2016,2016
Brent Burns,Antti Raanta,2016,2016
Joe Pavelski,Antti Raanta,2016,2016
Melker Karlsson,Jaroslav Halak,2016,2016
Anthony Beauvillier,Aaron Dell,2016,2016
Anders Lee,Aaron Dell,2016,2016
Tomas Hertl,Jaroslav Halak,2016,2016
Joe Pavelski,Jaroslav Halak,2016,2016
Alex Ovechkin,Semyon Varlamov,2016,2016
T.J. Oshie,Semyon Varlamov,2016,2016
T.J. Oshie,Semyon Varlamov,2016,2016
Max Pacioretty,Marc-Andre Fleury,2016,2016
David Desharnais,Marc-Andre Fleury,2016,2016
Alexander Radulov,Marc-Andre Fleury,2016,2016
David Desharnais,Marc-Andre Fleury,2016,2016
Tobias Rieder,Craig Anderson,2016,2016
Bobby Ryan,Mike Smith,2016,2016
Tom Pyatt,Mike Smith,2016,2016
Zack Smith,Mike Smith,2016,2016
Oliver Ekman-Larsson,Craig Anderson,2016,2016
Chris Kelly,Louis Domingue,2016,2016
Mark Stone,Louis Domingue,2016,2016
Jordan Martinook,Craig Anderson,2016,2016
Kyle Turris,Louis Domingue,2016,2016
Jordan Martinook,Craig Anderson,2016,2016
Colton Sceviour,Ben Bishop,2016,2016
Alex Killorn,James Reimer,2016,2016
Ondrej Palat,James Reimer,2016,2016
Vincent Trocheck,Ben Bishop,2016,2016
Mike Matheson,Ben Bishop,2016,2016
Steven Stamkos,James Reimer,2016,2016
Jonathan Drouin,James Reimer,2016,2016
Vincent Trocheck,Ben Bishop,2016,2016
Brayden Point,James Reimer,2016,2016
Tanner Pearson,Darcy Kuemper,2016,2016
Erik Haula,Jeff Zatkoff,2016,2016
Jason Pominville,Jeff Zatkoff,2016,2016
Charlie Coyle,Jeff Zatkoff,2016,2016
Mikko Koivu,Jeff Zatkoff,2016,2016
Teemu Pulkkinen,Jeff Zatkoff,2016,2016
Anze Kopitar,Darcy Kuemper,2016,2016
Tanner Pearson,Darcy Kuemper,2016,2016
Adam Cracknell,Pekka Rinne,2016,2016
Mike Fisher,Kari Lehtonen,2016,2016
Jason Spezza,Pekka Rinne,2016,2016
Zemgus Girgensons,Chad Johnson,2016,2016
Michael Frolik,Robin Lehner,2016,2016
Ryan O'Reilly,Chad Johnson,2016,2016
Micheal Ferland,Robin Lehner,2016,2016
Marcus Foligno,Chad Johnson,2016,2016
Matthew Tkachuk,Robin Lehner,2016,2016
Sean Monahan,Robin Lehner,2016,2016
Anton Slepyshev,Cam Ward,2016,2016
Jordan Eberle,Cam Ward,2016,2016
Tyler Pitlick,Cam Ward,2016,2016
Lee Stempniak,Cam Talbot,2016,2016
Lee Stempniak,Cam Talbot,2016,2016
Vladimir Tarasenko,Jacob Markstrom,2016,2016
Bo Horvat,Jake Allen,2016,2016
Henrik Sedin,Jake Allen,2016,2016
Mika Zibanejad,Jimmy Howard,2016,2016
Thomas Vanek,Henrik Lundqvist,2016,2016
Drew Miller,Henrik Lundqvist,2016,2016
Patrick Kane,Michal Neuvirth,2016,2016
Dennis Rasmussen,Michal Neuvirth,2016,2016
Artemi Panarin,Michal Neuvirth,2016,2016
Marian Hossa,Michal Neuvirth,2016,2016
Matt Read,Corey Crawford,2016,2016
Matt Read,Corey Crawford,2016,2016
Sean Couturier,Corey Crawford,2016,2016
Wayne Simmonds,Corey Crawford,2016,2016
Artem Anisimov,Steve Mason,2016,2016
Artemi Panarin,Steve Mason,2016,2016
Connor Carrick,Michael Hutchinson,2016,2016
Nazem Kadri,Michael Hutchinson,2016,2016
William Nylander,Michael Hutchinson,2016,2016
Nazem Kadri,Michael Hutchinson,2016,2016
Tyler Myers,Frederik Andersen,2016,2016
Patrik Laine,Frederik Andersen,2016,2016
Mark Scheifele,Frederik Andersen,2016,2016
Patrik Laine,Frederik Andersen,2016,2016
Patrik Laine,Frederik Andersen,2016,2016
Matt Duchene,Ben Bishop,2016,2016
Matt Duchene,Ben Bishop,2016,2016
Andreas Martinsen,Ben Bishop,2016,2016
Carl Soderberg,Ben Bishop,2016,2016
Tomas Hertl,Marc-Andre Fleury,2016,2016
Patrick Marleau,Marc-Andre Fleury,1997,2016
Evgeni Malkin,Martin Jones,2016,2016
Scott Wilson,Martin Jones,2016,2016
Patric Hornqvist,Martin Jones,2016,2016
Alexei Emelin,Louis Domingue,2016,2016
Torrey Mitchell,Louis Domingue,2016,2016
Shea Weber,Louis Domingue,2016,2016
Alex Galchenyuk,Louis Domingue,2016,2016
Jakob Chychrun,Carey Price,2016,2016
Laurent Dauphin,Carey Price,2016,2016
Artturi Lehkonen,Justin Peters,2016,2016
Chris Wagner,Steve Mason,2016,2016
Wayne Simmonds,John Gibson,2016,2016
Matt Read,John Gibson,2016,2016
Corey Perry,Steve Mason,2016,2016
Ryan Garbutt,Steve Mason,2016,2016
Kyle Palmieri,Tuukka Rask,2016,2016
Brad Marchand,Cory Schneider,2016,2016
Patrice Bergeron,Cory Schneider,2016,2016
Roman Polak,Devan Dubnyk,2016,2016
Eric Staal,Jhonas Enroth,2016,2016
Auston Matthews,Devan Dubnyk,2016,2016
Zac Dalpe,Jhonas Enroth,2016,2016
Eric Staal,Jhonas Enroth,2016,2016
Nic Dowd,Kari Lehtonen,2016,2016
Radek Faksa,Peter Budaj,2016,2016
Jeff Carter,Kari Lehtonen,2016,2016
Jamie Benn,Peter Budaj,2016,2016
Tanner Pearson,Kari Lehtonen,2016,2016
Jason Spezza,Peter Budaj,2016,2016
Alec Martinez,Kari Lehtonen,2016,2016
Justin Williams,Roberto Luongo,2016,2016
Evgeny Kuznetsov,Roberto Luongo,2016,2016
Mike Matheson,Braden Holtby,2016,2016
Jaromir Jagr,Braden Holtby,1997,2016
Alex Ovechkin,Roberto Luongo,2016,2016
Marcus Johansson,Roberto Luongo,2016,2016
Teuvo Teravainen,Brian Elliott,2016,2016
Victor Rask,Brian Elliott,2016,2016
Viktor Stalberg,Brian Elliott,2016,2016
Troy Brouwer,Eddie Lack,2016,2016
Johnny Gaudreau,Eddie Lack,2016,2016
Jeff Skinner,Brian Elliott,2016,2016
